"_id","_index","_score","clean_text","clean_text.keyword","comment_text","comment_text.keyword",likes,"published_at","published_at.keyword",sentiment,"sentiment.keyword",title,"title.keyword","video_id","video_id.keyword","view_count"
rqgQ5pcBQareQcpIgsbw,"youtube-comments1-index",1,"the actual story of why the racial riots happen in 1969 is because a group of chinese youths just after the general election killed a famous malay actress mak minah who starred in p.ramlee films by slashing her stomach which angered the malays who heard about it. before this a party dap won mainly in chinese seats back then instigated the chinese in the areas to hate the malays which created the racial tensions then till now. but more and more malaysians have realize that dap and pakatan can only make instigations, lies and empty promises but cannot deliver their job.","the actual story of why the racial riots happen in 1969 is because a group of chinese youths just after the general election killed a famous malay actress mak minah who starred in p.ramlee films by slashing her stomach which angered the malays who heard about it. before this a party dap won mainly in chinese seats back then instigated the chinese in the areas to hate the malays which created the racial tensions then till now. but more and more malaysians have realize that dap and pakatan can only make instigations, lies and empty promises but cannot deliver their job.","The actual story of why the racial riots happen in 1969 is because a group of Chinese youths (just after the general election) killed a famous Malay actress (Mak Minah who starred in P.Ramlee films)  by slashing her stomach which angered the Malays who heard about it. Before this a party DAP won mainly in Chinese seats back then instigated the Chinese in the areas to hate the Malays which created the racial tensions then till now. But more and more Malaysians have realize that DAP and Pakatan can only make instigations, lies and empty promises but cannot deliver their job.","The actual story of why the racial riots happen in 1969 is because a group of Chinese youths (just after the general election) killed a famous Malay actress (Mak Minah who starred in P.Ramlee films)  by slashing her stomach which angered the Malays who heard about it. Before this a party DAP won mainly in Chinese seats back then instigated the Chinese in the areas to hate the Malays which created the racial tensions then till now. But more and more Malaysians have realize that DAP and Pakatan can only make instigations, lies and empty promises but cannot deliver their job.","21,151",20200925,20200925,NEGATIVE,NEGATIVE,"HISTORY OF MALAYSIA in 12 Minutes","HISTORY OF MALAYSIA in 12 Minutes",1HRPIlg0QIk,1HRPIlg0QIk,"1,056,184"
r6gQ5pcBQareQcpIgsbw,"youtube-comments1-index",1,"you forget to told the history where negrito, the indigenous people of malaysia, enslaved by malay, the majority people who called themselves as indigenous people of malaysia","you forget to told the history where negrito, the indigenous people of malaysia, enslaved by malay, the majority people who called themselves as indigenous people of malaysia","You forget to told the history where Negrito, the indigenous people of Malaysia, enslaved by Malay, the majority people who called themselves as indigenous people of Malaysia","You forget to told the history where Negrito, the indigenous people of Malaysia, enslaved by Malay, the majority people who called themselves as indigenous people of Malaysia","21,151",20200925,20200925,NEGATIVE,NEGATIVE,"HISTORY OF MALAYSIA in 12 Minutes","HISTORY OF MALAYSIA in 12 Minutes",1HRPIlg0QIk,1HRPIlg0QIk,"1,056,184"
sKgQ5pcBQareQcpIgsbw,"youtube-comments1-index",1,"saya ada di malaysia","saya ada di malaysia","🎤 saya ada di malaysia","🎤 saya ada di malaysia","21,151",20200925,20200925,NEGATIVE,NEGATIVE,"HISTORY OF MALAYSIA in 12 Minutes","HISTORY OF MALAYSIA in 12 Minutes",1HRPIlg0QIk,1HRPIlg0QIk,"1,056,184"
sagQ5pcBQareQcpIgsbw,"youtube-comments1-index",1,"you miss something,mr.knowledgia indonesianmalaysian war 19631966","you miss something,mr.knowledgia indonesianmalaysian war 19631966","you miss something,Mr.Knowledgia

Indonesian-Malaysian war 1963-1966","you miss something,Mr.Knowledgia

Indonesian-Malaysian war 1963-1966","21,151",20200925,20200925,NEGATIVE,NEGATIVE,"HISTORY OF MALAYSIA in 12 Minutes","HISTORY OF MALAYSIA in 12 Minutes",1HRPIlg0QIk,1HRPIlg0QIk,"1,056,184"
sqgQ5pcBQareQcpIgsbw,"youtube-comments1-index",1,"you all probably dont give a shit but does someone know a trick to log back into an instagram account..? i somehow forgot the password. i would love any assistance you can give me!","you all probably dont give a shit but does someone know a trick to log back into an instagram account..? i somehow forgot the password. i would love any assistance you can give me!","you all probably dont give a shit but does someone know a trick to log back into an instagram account..?
I somehow forgot the password. I would love any assistance you can give me!","you all probably dont give a shit but does someone know a trick to log back into an instagram account..?
I somehow forgot the password. I would love any assistance you can give me!","21,151",20200925,20200925,NEGATIVE,NEGATIVE,"HISTORY OF MALAYSIA in 12 Minutes","HISTORY OF MALAYSIA in 12 Minutes",1HRPIlg0QIk,1HRPIlg0QIk,"1,056,184"
s6gQ5pcBQareQcpIgsbw,"youtube-comments1-index",1,"is west philippines sea idiot","is west philippines sea idiot","Is west Philippines sea idiot","Is west Philippines sea idiot","21,151",20200925,20200925,NEGATIVE,NEGATIVE,"HISTORY OF MALAYSIA in 12 Minutes","HISTORY OF MALAYSIA in 12 Minutes",1HRPIlg0QIk,1HRPIlg0QIk,"1,056,184"
tKgQ5pcBQareQcpIgsbw,"youtube-comments1-index",1,"your so cool","your so cool","Your so cool","Your so cool","21,151",20200925,20200925,NEGATIVE,NEGATIVE,"HISTORY OF MALAYSIA in 12 Minutes","HISTORY OF MALAYSIA in 12 Minutes",1HRPIlg0QIk,1HRPIlg0QIk,"1,056,184"
tagQ5pcBQareQcpIgsbw,"youtube-comments1-index",1,no,no,No,No,"21,151",20200925,20200925,NEUTRAL,NEUTRAL,"HISTORY OF MALAYSIA in 12 Minutes","HISTORY OF MALAYSIA in 12 Minutes",1HRPIlg0QIk,1HRPIlg0QIk,"1,056,184"
tqgQ5pcBQareQcpIgsbw,"youtube-comments1-index",1,"last word im not stupid 4 2 tidal catch you dreaming i can fight you community at all.because im still wory about and learn story 1989 dead strock im marred again new life no war","last word im not stupid 4 2 tidal catch you dreaming i can fight you community at all.because im still wory about and learn story 1989 dead strock im marred again new life no war","Last word im not stupid 4 2 tidal catch you dreaming i can fight you community at all.because im still wory about and learn story 1989 dead strock im marred again new life no war","Last word im not stupid 4 2 tidal catch you dreaming i can fight you community at all.because im still wory about and learn story 1989 dead strock im marred again new life no war","21,151",20200925,20200925,NEGATIVE,NEGATIVE,"HISTORY OF MALAYSIA in 12 Minutes","HISTORY OF MALAYSIA in 12 Minutes",1HRPIlg0QIk,1HRPIlg0QIk,"1,056,184"
26gQ5pcBQareQcpIrsZo,"youtube-comments1-index",1,"pinoynanationalist5394 thank you too malaysia seems like good friend, but betrayal is good. and its known for exploiting and destroying the culture that was once created with thailand and indonesia. the injustice must disappear! we will fight together","pinoynanationalist5394 thank you too malaysia seems like good friend, but betrayal is good. and its known for exploiting and destroying the culture that was once created with thailand and indonesia. the injustice must disappear! we will fight together"," @pinoynanationalist5394  Thank you too🙏 Malaysia seems like good friend, but betrayal is good. And it's known for exploiting and destroying the culture that was once created with Thailand and Indonesia. The injustice must disappear! We will fight together💪💪 🇹🇭❤️🇵🇭"," @pinoynanationalist5394  Thank you too🙏 Malaysia seems like good friend, but betrayal is good. And it's known for exploiting and destroying the culture that was once created with Thailand and Indonesia. The injustice must disappear! We will fight together💪💪 🇹🇭❤️🇵🇭","21,151",20200925,20200925,NEGATIVE,NEGATIVE,"HISTORY OF MALAYSIA in 12 Minutes","HISTORY OF MALAYSIA in 12 Minutes",1HRPIlg0QIk,1HRPIlg0QIk,"1,056,184"
